ccbaCpno_item,ccbaMnm1_item
1111102550000,전 덕산 청동방울 일괄
1113102560000,초조본 대방광불화엄경 주본 권1
1113302570000,초조본 대방광불화엄경 주본 권29
1111102580000,백자 청화죽문 각병
1111102590000,분청사기 상감운룡문 항아리
1111102600000,분청사기 박지철채모란문 자라병
1111102610000,백자 유개항아리
1111102620000,백자 달항아리(1991)
1111102630000,백자 청화산수화조문 항아리
1113702640000,포항 냉수리 신라비
1111102650000,초조본 대방광불화엄경 주본 권13
1111102660000,"초조본 대방광불화엄경 주본 권2,75"
1111102670000,초조본 아비달마식신족론 권12
1111102680000,"초조본 아비담비바사론 권11, 17"
1111102690000,초조본 불설최상근본대락금강불공삼매대교왕경 권6
1111102700000,청자 모자원숭이모양 연적
1111102710000,초조본 현양성교론 권12
1111102720000,초조본 유가사지론 권32
1111102730000,초조본 유가사지론 권15
1113702750000,도기 기마인물형 뿔잔
1112302760000,초조본 유가사지론 권53
1111102770000,초조본 대방광불화엄경 주본 권36
1113302790000,초조본 대방광불화엄경 주본 권74
1111102800000,성거산 천흥사명 동종
1111102810000,백자 병형 주전자
1113702820000,영주 흑석사 목조아미타여래좌상 및 복장유물
1113702830000,통감속편
1111102840000,"초조본 대반야바라밀다경 권162, 170, 463"
1112602850000,울주 대곡리 반구대 암각화
1111102860000,백자 ‘천’ ‘지’ ‘현’ ‘황‘명 발
1113402870000,백제 금동대향로
1113402880000,부여 능산리사지 석조사리감
1113502890000,익산 왕궁리 오층석탑
1113802900000,양산 통도사 대웅전 및 금강계단
1111102910000,용감수경 권3~4
1113202920000,평창 상원사 중창권선문
1111102930000,부여 규암리 금동관음보살입상
1111102940000,백자 청화철채동채초충문 병
1111102950000,나주 신촌리 금동관
1113102960000,칠장사 오불회 괘불탱
1113302970000,안심사 영산회 괘불탱
1113402980000,갑사 삼신불 괘불탱
1113402990000,신원사 노사나불 괘불탱
1113403000000,장곡사 미륵불 괘불탱
1113603010000,화엄사 영산회 괘불탱
1113803020000,청곡사 영산회 괘불탱
1111103030000,승정원일기
1113603040000,여수 진남관
1113803050000,통영 세병관
1113103060000,삼국유사 권3~5
1111103060200,삼국유사
1111103060300,삼국유사 권1~2
1112103060400,삼국유사 권4~5
1113403070000,태안 동문리 마애삼존불입상
1113603080000,해남 대흥사 북미륵암 마애여래좌상
1111103090000,백자 달항아리(2007-1)
1111103100000,백자 달항아리(2007-2)
1113703110000,안동 봉정사 대웅전
1113703120000,경주 남산 칠불암 마애불상군
1113603130000,강진 무위사 극락전 아미타여래삼존벽화
1113603140000,순천 송광사 화엄경변상도
1113703150000,문경 봉암사 지증대사탑비
1113503160000,완주 화암사 극락전
1113503170000,조선태조어진
1113703180000,포항 중성리 신라비
1111103190100,동의보감(2015-1)
1113103190200,동의보감(2015-2)
1111103190300,동의보감(2015-3)
1113103200000,월인천강지곡 권상
1113703210000,문경 대승사 목각아미타여래설법상
1113703220100,삼국사기(2018-1)
1111103220200,삼국사기(2018-2)
1113403230000,논산 관촉사 석조미륵보살입상
1113803240000,이제 개국공신교서
1111103250000,기사계첩
