ccbaAsno_item,ccbaKdcd_item,ccbaCtcd_item
10980000,12,11
10990000,12,11
11000000,12,11
11010000,12,11
11020000,12,11
11030000,12,11
11040000,12,11
11050000,12,11
11060000,12,11
11070000,12,11
11080000,12,11
11090000,12,37
11100100,12,37
11100200,12,31
11110000,12,33
11120000,12,38
11130000,12,38
11140000,12,38
11150000,12,36
11160000,12,36
11170000,12,36
11180000,12,36
11190000,12,11
11200000,12,38
11210000,12,37
11220000,12,37
11230000,12,35
11240000,12,11
11250000,12,11
11260000,12,11
11270000,12,11
11280000,12,31
11290000,12,31
11300000,12,31
11310000,12,31
11320000,12,31
11330000,12,31
11340000,12,36
11350000,12,31
11360100,12,31
11360200,12,37
11370000,12,11
11380000,12,11
11390000,12,11
11400000,12,11
11410000,12,37
11420000,12,11
11430000,12,11
11440000,12,31
11450000,12,31
11460000,12,31
11470100,12,11
11470200,12,34
11470300,12,11
11480000,12,31
11490000,12,31
11510000,12,37
11520000,12,37
11530000,12,32
11540000,12,23
11550000,12,23
11560000,12,11
11570100,12,11
11570200,12,33
11580000,12,11
11590000,12,11
11600000,12,11
11610000,12,11
11620000,12,33
11630000,12,11
11640100,12,33
11640200,12,11
11650000,12,25
11650200,12,21
11660000,12,11
11670000,12,33
11680000,12,11
11690000,12,11
11710000,12,11
11740100,12,31
11740200,12,31
11750000,12,31
11760000,12,31
11770000,12,31
11780000,12,23
11790000,12,23
11800000,12,23
11810000,12,35
11820000,12,32
11830000,12,36
11840000,12,36
11850000,12,36
11860000,12,37
11870000,12,50
11880000,12,37
11890100,12,34
11890200,12,21
11900000,12,11
11910000,12,32
11920000,12,32
11930100,12,32
11930200,12,11
11940000,12,38
11950000,12,38
11960100,12,38
11960200,12,11
11970000,12,31
11980000,12,31
11990000,12,11
12000000,12,35
12010000,12,37
12020000,12,37
12030000,12,37
12040000,12,11
12050000,12,23
12060000,12,23
12070000,12,23
12080100,12,23
12080200,12,38
12090000,12,23
12100000,12,11
12110000,12,31
12120000,12,38
12130000,12,38
12140000,12,22
12150100,12,11
12150200,12,34
12150300,12,34
12150400,12,25
12160000,12,31
12170000,12,11
12180000,12,11
12190100,12,11
12190200,12,31
12190300,12,21
12190400,12,11
12200000,12,32
12210000,12,37
12220100,12,32
12220200,12,33
12230000,12,32
12240100,12,32
12240200,12,21
12250000,12,31
12260000,12,11
12270000,12,23
12280000,12,11
12290000,12,11
12300000,12,11
12310000,12,11
12320000,12,38
12330000,12,24
12340000,12,33
12350000,12,33
12360100,12,33
12360200,12,11
12370000,12,22
12380000,12,11
12390000,12,11
12400000,12,38
12410000,12,37
12420000,12,38
12430000,12,35
12440000,12,35
12450000,12,11
12460000,12,34
12470000,12,34
12480000,12,11
12490000,12,23
12500000,12,23
12520000,12,36
12530000,12,38
12540000,12,36
12550000,12,35
12560000,12,31
12570000,12,31
12580000,12,33
12590000,12,33
12600000,12,34
12610000,12,34
12620000,12,34
12630000,12,34
12640000,12,34
12650000,12,34
12660000,12,35
12670000,12,35
12680000,12,35
12690000,12,35
12700000,12,37
12710000,12,37
12720000,12,37
12730000,12,38
12740000,12,35
12750000,12,32
12760000,12,32
12770000,12,32
12780000,12,37
12790000,12,36
12800000,12,37
12810100,12,11
12810200,12,11
12810300,12,31
12810400,12,26
12810500,12,21
12810600,12,22
12810700,12,11
12820000,12,11
12830000,12,36
12840000,12,34
12850000,12,34
12860000,12,31
12870000,12,11
12880000,12,36
12890000,12,11
12900000,12,11
12910000,12,11
12920000,12,32
12930000,12,34
12950000,12,33
12960000,12,33
12970000,12,11
12980000,12,31
12990000,12,33
13000000,12,38
