ccbaCpno_item,ccbaMnm1_item
1123200780000,원주 거돈사지 원공국사탑비
1123200790000,홍천 희망리 삼층석탑
1123200800000,홍천 희망리 당간지주
1123200820000,강릉 대창리 당간지주
1123200830000,강릉 수문리 당간지주
1123200840000,강릉 신복사지 석조보살좌상
1123200850000,강릉 굴산사지 승탑
1123200860000,강릉 굴산사지 당간지주
1123200870000,강릉 신복사지 삼층석탑
1123600880000,탑산사명 동종
1123600890000,영암 도갑사 석조여래좌상
1123600900000,대반열반경소 권9~10
1123100910000,여주 창리 삼층석탑
1123100920000,여주 하리 삼층석탑
1123100930000,파주 용미리 마애이불입상
1123300940000,제천 사자빈신사지 사사자 구층석탑
1123300950000,충주 미륵리 오층석탑
1123300960000,충주 미륵리 석조여래입상
1123300970000,괴산 원풍리 마애이불병좌상
1123300980000,충주 철조여래좌상
1123400990000,천안 천흥사지 당간지주
1123401000000,당진 안국사지 석조여래삼존입상
1123401010000,당진 안국사지 석탑
1123401020000,서산 보원사지 석조
1123401030000,서산 보원사지 당간지주
1123401040000,서산 보원사지 오층석탑
1123401050000,서산 보원사지 법인국사탑
1123401060000,서산 보원사지 법인국사탑비
1123401080000,부여 정림사지 석조여래좌상
1122401090000,(전)광주 성거사지 오층석탑
1122401100000,광주 지산동 오층석탑
1123601110000,담양 개선사지 석등
1123601120000,광양 중흥산성 삼층석탑
1123701130000,청도 봉기리 삼층석탑
1123701140000,안동 평화동 삼층석탑
1123701150000,안동 이천동 마애여래입상
1123701160000,영주 석교리 석조여래입상
1123701170000,상주 화달리 삼층석탑
1123701180000,상주 증촌리 석조여래입상
1123701190000,상주 복용동 석조여래좌상
1123701200000,상주 증촌리 석조여래좌상
1123701210000,경주 굴불사지 석조사면불상
1123701220000,경주 율동 마애여래삼존입상
1123701230000,경주 보문사지 당간지주
1123701240000,경주 남산동 동·서 삼층석탑
1123701250000,경주 무장사지 아미타불 조상 사적비
1123701260000,경주 무장사지 삼층석탑
1123701270000,경주 삼랑사지 당간지주
1123801280000,합천 반야사지 원경왕사비
1123801290000,합천 월광사지 동·서 삼층석탑
1122401310000,광주 증심사 철조비로자나불좌상
1123601320000,구례 화엄사 동 오층석탑
1123601330000,구례 화엄사 서 오층석탑
1123601340000,순천 송광사 경질
1123701360000,경주 남산 미륵곡 석조여래좌상
1123701370000,문경 봉암사 지증대사탑
1121101410000,서울 문묘 및 성균관<대성전·동무·서무·삼문·명륜당>
1121101420000,서울 동관왕묘
1123401430000,서산 개심사 대웅전
1123801460000,창녕 관룡사 약사전
1123801470000,밀양 영남루
1123401500000,공주 반죽동 당간지주
1123601510000,구례 연곡사 삼층석탑
1123601520000,구례 연곡사 현각선사탑비
1123601530000,구례 연곡사 동 승탑비
1123601540000,구례 연곡사 소요대사탑
1123601550000,장흥 보림사 동 승탑
1123601560000,장흥 보림사 서 승탑
1123601570000,장흥 보림사 보조선사탑
1123601580000,장흥 보림사 보조선사탑비
1123801590000,함안 방어산 마애약사여래삼존입상
1122301610000,강화 정수사 법당
1123401620000,청양 장곡사 상 대웅전
1123201640000,춘천 청평사 회전문
1123201650000,강릉 오죽헌
1123501670000,정읍 은선리 삼층석탑
1123701680000,경주 천군동 동·서 삼층석탑
1123701690000,문경 봉암사 삼층석탑
1123601700000,화순 쌍봉사 철감선사탑비
1123701710000,문경 봉암사 정진대사탑
1123701720000,문경 봉암사 정진대사탑비
1122601730000,울주 망해사지 승탑
1123401740000,청양 장곡사 철조비로자나불좌상 및 석조대좌
1123601750000,순천 송광사 경패
1121101770000,사직단 대문
1122301780000,강화 전등사 대웅전
1122301790000,강화 전등사 약사전
1123101800000,여주 신륵사 조사당
1123401810000,청양 장곡사 하 대웅전
1123701820000,안동 임청각
1123201830000,강릉 해운정
1123401840000,부여 장하리 삼층석탑
1123401850000,부여 무량사 오층석탑
1123701860000,경주 남산 용장사곡 삼층석탑
1123701870000,경주 남산 용장사곡 석조여래좌상
1123701880000,의성 관덕리 삼층석탑
1123701890000,칠곡 송림사 오층전탑
1123201910000,강릉 보현사 낭원대사탑
1123201920000,강릉 보현사 낭원대사탑비
1123701930000,청도 운문사 금당 앞 석등
1123401970000,청양 읍내리 석조여래삼존입상
1123701980000,경주 남산 불곡 마애여래좌상
1123701990000,경주 남산 신선암 마애보살반가상
1123702010000,경주 남산 탑곡 마애불상군
1123702030000,청도 박곡리 석조여래좌상
1123602040000,묘법연화경관세음보살보문품삼현원찬과문
1123602050000,대승아비달마잡집론소 권13~14
1123602060000,묘법연화경찬술 권1~2
1123602070000,금강반야경소개현초 권4~5
1123702080000,청도 운문사 동호
1122502090000,대전 회덕 동춘당
1123702100000,안동 도산서원 전교당
1123702110000,안동 도산서원 상덕사 및 삼문
1123802120000,창녕 관룡사 대웅전
1123202130000,삼척 죽서루
1123202140000,강릉향교 대성전
1121102150000,서울 북한산 구기동 마애여래좌상
1123302160000,보은 법주사 마애여래의좌상
1123402170000,부여 대조사 석조미륵보살입상
1123402190000,논산 개태사지 석조여래삼존입상
1123702200000,영주 북지리 석조여래좌상(1963-1)
1123702200200,영주 북지리 석조여래좌상(1963-2)
1123702210000,영주 가흥동 마애여래삼존상 및 여래좌상
1123802220000,합천 치인리 마애여래입상
1123202230000,철원 도피안사 삼층석탑
1123402240000,서천 성북리 오층석탑
1123102250000,여주 신륵사 다층석탑
1123102260000,여주 신륵사 다층전탑
1123802270000,창녕 인양사 조성비
1123102280000,여주 신륵사 보제존자석종
1123102290000,여주 신륵사 보제존자석종비
1123102300000,여주 신륵사 대장각기비
1123102310000,여주 신륵사 보제존자석종 앞 석등
1123402320000,논산 관촉사 석등
1123402330000,부여 무량사 석등
1123502340000,군산 발산리 석등
1121102350000,서울 장의사지 당간지주
1123502360000,익산 미륵사지 당간지주
1123702420000,안동 개목사 원통전
1122202430000,대구 동화사 마애여래좌상
1122202440000,대구 동화사 비로암 석조비로자나불좌상
1123702450000,김천 갈항사지 석조여래좌상
1123702460000,의성 고운사 석조여래좌상
1122202470000,대구 동화사 비로암 삼층석탑
1122202480000,대구 동화사 금당암 동·서 삼층석탑
1123702490000,영주 부석사 삼층석탑
1122102500000,부산 범어사 삼층석탑
1123702510000,칠곡 선봉사 대각국사비
1123702520000,포항 보경사 원진국사비
1123802530000,합천 청량사 석등
1122202540000,대구 동화사 당간지주
1123702550000,영주 부석사 당간지주
1123402560000,공주 갑사 철당간
1123402570000,공주 갑사 승탑
1123602630000,순천 송광사 하사당
1123802640000,합천 해인사 석조여래입상
1123802650000,합천 청량사 석조여래좌상
1123802660000,합천 청량사 삼층석탑
1123502670000,임실 진구사지 석등
1123502720000,장수향교 대성전
1123602730000,곡성 태안사 적인선사탑
1123602740000,곡성 태안사 광자대사탑
1123602750000,곡성 태안사 광자대사탑비
1123502760000,군산 발산리 오층석탑
1123502770000,부안 내소사 동종
1123502790000,고창 선운사 금동지장보살좌상
1123502800000,고창 선운사 도솔암 금동지장보살좌상
1123502810000,남원 광한루
1123502890000,정읍 피향정
1123502900000,고창 선운사 대웅전
1123502910000,부안 내소사 대웅보전
1123502920000,부안 개암사 대웅전
1123802940000,함양 승안사지 삼층석탑
1123802950000,창녕 관룡사 용선대 석조여래좌상
1123702960000,김천 청암사 수도암 석조보살좌상
1123702970000,김천 청암사 수도암 동·서 삼층석탑
1123602980000,강진 월남사지 삼층석탑
1123602990000,구례 화엄사 대웅전
1123603000000,구례 화엄사 원통전 앞 사자탑
1123603010000,해남 대흥사 북미륵암 삼층석탑
1123603020000,순천 송광사 약사전
1123603030000,순천 송광사 영산전
1123603040000,보성 벌교 홍교
1123703050000,안동 석빙고
1123703060000,안동 하회 양진당
1123703070000,김천 청암사 수도암 석조비로자나불좌상
1123503080000,전주 풍남문
1123503090000,정읍 천곡사지 칠층석탑
1123803100000,창녕 석빙고
1123803120000,밀양 소태리 오층석탑
1123603130000,강진 월남사지 진각국사비
1123703160000,청도 운문사 원응국사비
1123703170000,청도 운문사 석조여래좌상
1123703180000,청도 운문사 석조사천왕상
1123703190000,김천 직지사 석조약사여래좌상
1123603200000,해남 대흥사 삼층석탑
1123903220000,제주 관덕정
1123703230000,청도 석빙고
1123403260000,이순신 유물 일괄
1123703270000,의성 빙산사지 오층석탑
1122203500000,달성 도동서원 중정당·사당·담장
1121103510000,전 양평 보리사지 대경대사탑
1123803530000,합천 영암사지 쌍사자 석등
1123403540000,천안 천흥사지 오층석탑
1123403550000,홍성 신경리 마애여래입상
1123403560000,부여 무량사 극락전
1123303670000,기축명아미타불비상
1123303680000,미륵보살반가사유비상
1122603690000,울주 석남사 승탑
1122603700000,울주 간월사지 석조여래좌상
1123803710000,산청 사월리 석조여래좌상
1123803720000,진주 용암사지 승탑
1123803730000,의령 보천사지 삼층석탑
1123803740000,산청 율곡사 대웅전
1123803750000,함양 덕전리 마애여래입상
1123803760000,함양 교산리 석조여래좌상
1123803770000,거창 양평리 석조여래입상
1123803780000,거창 상림리 석조보살입상
1123803790000,진주 묘엄사지 삼층석탑
1123803800000,하동 쌍계사 승탑
1123803810000,합천 백암리 석등
1122603820000,울주 청송사지 삼층석탑
1121103830000,창덕궁 돈화문
1121103840000,창경궁 홍화문
1121103850000,창경궁 명정문 및 행각
1121103860000,창경궁 옥천교
1123103880000,양주 회암사지 무학대사탑
1123103890000,양주 회암사지 무학대사탑 앞 쌍사자 석등
1122303930000,전등사 철종
1123603940000,나주향교 대성전
1123603950000,순천 선암사 동·서 삼층석탑
1123603960000,여수 흥국사 대웅전
1123103970000,남양주 봉선사 동종
1123403990000,홍성 고산사 대웅전
1123604000000,순천 선암사 승선교
1123104020000,수원 팔달문
1123104030000,수원 화서문
1123304040000,진천 연곡리 석비
1123304050000,단양 향산리 삼층석탑
1123304060000,제천 덕주사 마애여래입상
1123404070000,천안 삼태리 마애여래입상
1123404080000,논산 쌍계사 대웅전
1123404090000,당진 영탑사 금동비로자나불삼존좌상
1123704110000,경주 양동 무첨당
1123704120000,경주 양동 향단
1123704130000,경주 독락당
1123704140000,안동 하회 충효당
1123704150000,경주 기림사 건칠보살반가상
1121104170000,홍무정운역훈 권3~16
1121104190200,삼국유사 권2
1121104190400,삼국유사 권3~5
1123504200000,백장암 청동 은입사 향로
1123504220000,남원 선원사 철조여래좌상
1123504230000,남원 신계리 마애여래좌상
1123704240000,예천 청룡사 석조여래좌상
1123704250000,예천 청룡사 석조비로자나불좌상
1123704260000,예천 동본리 삼층석탑
1123704270000,예천 동본리 석조여래입상
1123704280000,군위 인각사 보각국사탑 및 비
1123704290000,경산 불굴사 삼층석탑
1123704300000,포항 보경사 승탑
1123704310000,경산 팔공산 관봉 석조여래좌상
1123304330000,괴산 각연사 석조비로자나불좌상
1122104340000,부산 범어사 대웅전
1123104350000,안성 봉업사지 오층석탑
1123804360000,창원 불곡사 석조비로자나불좌상
1123204390000,양양 진전사지 도의선사탑
1123704420000,경주 양동 관가정
1123204430000,속초 향성사지 삼층석탑
1123204440000,양양 선림원지 삼층석탑
1123204450000,양양 선림원지 석등
1123204460000,양양 선림원지 홍각선사탑비
1123204470000,양양 선림원지 승탑
1123704480000,안동 봉정사 화엄강당
1123704490000,안동 봉정사 고금당
1123704500000,안동 의성김씨 종택
1123704570000,예천권씨 초간종택 별당
1123304590000,제천 장락동 칠층모전석탑
1123604610000,나주 철천리 마애칠불상
1123604620000,나주 철천리 석조여래입상
1121104630000,원주 흥법사지 진공대사탑비
1123204640000,원주 흥법사지 삼층석탑
1123704650000,영천 신월리 삼층석탑
1123804660000,밀양 만어사 삼층석탑
1123804670000,밀양 표충사 삼층석탑
1123804680000,밀양 숭진리 삼층석탑
1123704690000,구미 낙산리 삼층석탑
1123704700000,구미 도리사 석탑
1123804710000,양산 통도사 봉발탑
1123804720000,의령 보천사지 승탑
1123804730000,산청 법계사 삼층석탑
1123804740000,함양 벽송사 삼층석탑
1123704750000,안동 소호헌
1123404780000,갑사 동종
1123804800000,합천 영암사지 삼층석탑
1123704850000,대성지성문선왕전좌도
1123704860000,영천 은해사 백흥암 수미단
1123104880000,안성 칠장사 혜소국사비
1123804890000,합천 영암사지 귀부
1123704900000,구미 금오산 마애여래입상
1123804910000,양산 용화사 석조여래좌상
1123704920000,구미 해평리 석조여래좌상
1123804930000,밀양 무봉사 석조여래좌상
1123804950000,고성 옥천사 청동북
1123204960000,화천 계성리 석등
1123204970000,양양 오색리 삼층석탑
1123704980000,울진 구산리 삼층석탑
1123204990000,양양 낙산사 칠층석탑
1123805000000,하동 쌍계사 대웅전
1123605030000,해남 명량대첩비
1123605040000,영광 신천리 삼층석탑
1123605050000,담양 객사리 석당간
1123605060000,담양 남산리 오층석탑
1123605070000,강진 무위사 선각대사탑비
1123405080000,예산 삽교읍 석조보살입상
1123605090000,구례 논곡리 삼층석탑
1123705100000,칠곡 기성리 삼층석탑
1123305110000,청주 계산리 오층석탑
1123305120000,충주 단호사 철조여래좌상
1123705130000,영천 선원동 철조여래좌상
1123705140000,영천 은해사 운부암 금동보살좌상
1123705170000,영천 청제비
1123805180000,합천 해인사 원당암 다층석탑 및 석등
