ccbaCpno_item,ccbaPcd1_item
1113201220000,20
1113701260000,20
1113701300000,20
1113601440000,20
1113701870000,20
1113702080000,20
1113802330100,20
1113702360000,20
1113703120000,20
1113703150000,20
1123100040000,20
1123300150000,20
1123400190000,20
1123400200000,20
1123500230000,20
1123500280000,20
1123500330000,20
1123500340000,20
1123500350000,20
1123500370000,20
1123500380000,20
1123500390000,20
1123500400000,20
1123500410000,20
1123400470000,20
1123700510000,20
1123700520000,20
1123700540000,20
1123700560000,20
1123700570000,20
1123700580000,20
1123700590000,20
1123700600000,20
1123700620000,20
1123700640000,20
1123700650000,20
1123700670000,20
1123700690000,20
1123700700000,20
1123800720000,20
1123800730000,20
1123800750000,20
1123200820000,20
1123200830000,20
1123200860000,20
1123401020000,20
1123401030000,20
1122401100000,20
1123601110000,20
1123601120000,20
1123701130000,20
1123701140000,20
1123701160000,20
1123701170000,20
1123701180000,20
1123701200000,20
1123701210000,20
1123701220000,20
1123701230000,20
1123701240000,20
1123701250000,20
1123701260000,20
1123701270000,20
1123801290000,20
1122401310000,20
1123601320000,20
1123601330000,20
1123701360000,20
1123701370000,20
1123401500000,20
1123601510000,20
1123601550000,20
1123601570000,20
1123601580000,20
1123801590000,20
1123701680000,20
1123701690000,20
1123601700000,20
1122601730000,20
1123701860000,20
1123701870000,20
1123701880000,20
1123701890000,20
1123701930000,20
1123701990000,20
1123702010000,20
1123702030000,20
1123702200000,20
1123702200200,20
1123702210000,20
1123802220000,20
1123202230000,20
1123802270000,20
1123402330000,20
1123502340000,20
1121102350000,20
1123502360000,20
1122202430000,20
1122202440000,20
1123702450000,20
1123702460000,20
1122202470000,20
1122202480000,20
1123702490000,20
1122102500000,20
1123802530000,20
1122202540000,20
1123702550000,20
1123402560000,20
1123802640000,20
1123802650000,20
1123802660000,20
1123502670000,20
1123602730000,20
1123802950000,20
1123702970000,20
1123603000000,20
1123703070000,20
1123703180000,20
1123703190000,20
1123603200000,20
1123703270000,20
1123803530000,20
1123303670000,20
1123303680000,20
1122603690000,20
1123803710000,20
1123803770000,20
1123803800000,20
1123803810000,20
