ccbaCpno_item,ccbaCtcd_item,ccbaLcto_item
1123511980000,31,12
1123712160000,31,12
1123115110000,31,12
1123115120000,31,12
1123115140000,31,12
1123115150000,31,12
1123115350000,31,12
1123115360000,31,12
1123115970000,31,12
1123116310100,31,12
1123116310200,31,12
1123116320300,31,12
1123116740000,31,12
1123117240000,31,12
1123100040000,31,14
1113102960000,31,17
1123100110400,31,17
1123104350000,31,17
1123104880000,31,17
1123108230000,31,17
1123108240000,31,17
1123109830000,31,17
1123112560000,31,17
1123112570000,31,17
1123113020000,31,17
1123116270000,31,17
1123120360000,31,17
1123120910000,31,17
1123120920000,31,17
1333105360000,31,17
1123117410000,31,19
1123117420000,31,19
1123117430000,31,19
1123118030000,31,19
1333101930000,31,19
1123105650000,31,20
1123105670000,31,20
1113102480000,31,21
1123116730000,31,22
1333101400000,31,25
1123100110700,31,26
1123113240000,31,28
1333104410000,31,28
1123100120000,31,30
1123100130000,31,30
1123109810000,31,30
1333102690000,31,30
1333103520000,31,30
1333104220000,31,30
1123103880000,31,31
1123103890000,31,31
1123121300000,31,31
1333101280000,31,31
1333102100000,31,31
1333105260000,31,31
1113100040000,31,70
1123100060000,31,70
1123100070000,31,70
1123100080000,31,70
1123100910000,31,70
1123100920000,31,70
1123101800000,31,70
1123102250000,31,70
1123102260000,31,70
1123102280000,31,70
1123102290000,31,70
1123102300000,31,70
1123102310000,31,70
1123115320000,31,70
1333101950000,31,70
1333102510000,31,70
1333103820000,31,70
1113101200000,31,35
1123109800000,31,35
1123110950000,31,35
1123119420000,31,35
1333102060000,31,35
1333102170000,31,35
1123100930000,31,37
1123113230000,31,37
1333101480000,31,37
1333102030000,31,37
1333102050000,31,37
1333103230000,31,37
1333103510000,31,37
1333103890000,31,37
1333104370000,31,37
1333104640000,31,37
1333105250000,31,37
1333105370000,31,37
1333100570000,31,39
1333103140000,31,39
1333104800000,31,39
1333102230000,31,40
1333102440000,31,40
1333102680000,31,40
1333104670000,31,40
1333104680000,31,40
