ccbaCpno,ccbaKdcd,ccmaName,crltsnoNm,ccbaMnm1,ccbaMnm2,ccbaCtcd,ccbaCtcdNm,ccsiName,ccbaAdmin,ccbaAsno,longitude,latitude,ccbaPcd1,ccbaPcd1Nm
1113500110000,11,국보,11,익산 미륵사지 석탑,益山 彌勒寺址 石塔,35,전북,익산시,익산시,00110000,127.030560529125,36.0124223230747,12,백제
1113400840000,11,국보,84,서산 용현리 마애여래삼존상,瑞山 龍賢里 磨崖如來三尊像,34,충남,서산시,서산시,00840000,126.605229576013,36.7738058344123,12,백제
1123500450000,12,보물,45,익산 연동리 석조여래좌상,益山 蓮洞里 石造如來坐像,35,전북,익산시,익산시,00450000,127.007611207259,36.0298814958105,12,백제
1123401480000,12,보물,148,공주 중동 석조,公州 中洞 石槽,34,충남,공주시,국립공주박물관,01480000,127.111822069327,36.4660329802851,12,백제
1123401490000,12,보물,149,공주 반죽동 석조,公州 班竹洞 石槽,34,충남,공주시,국립공주박물관,01490000,127.11179658884,36.4660536084044,12,백제
1123407940000,12,보물,794,예산 화전리 석조사면불상,禮山 花田里 石造四面佛像,34,충남,예산군,예산군,07940000,126.67817016882,36.7543994371333,12,백제
1123509140000,12,보물,914,정읍 보화리 석조이불입상,井邑 普化里 石造二佛立像,35,전북,정읍시,정읍시,09140000,126.777365116592,35.5593110453755,12,백제
1333400040000,13,사적,4,부여 가림성,扶餘 加林城,34,충남,부여군,부여군,00040000,126.8996423,36.19760303,12,백제
1333400130000,13,사적,13,공주 무령왕릉과 왕릉원,公州 武寧王陵과 王陵園,34,충남,공주시,공주시,00130000,127.1134976,36.46310817,12,백제
1333400140000,13,사적,14,부여 왕릉원,扶餘 王陵園,34,충남,부여군,부여군,00140000,126.9427975,36.27784282,12,백제
1333400440000,13,사적,44,부여 군수리 사지,扶餘 軍守里 寺址,34,충남,부여군,부여군,00440000,126.909039076758,36.2690103719575,12,백제
1333500870000,13,사적,87,익산 쌍릉,益山 雙陵,35,전북,익산시,익산시,00870000,127.032050076854,35.9794632584462,12,백제
1333400990000,13,사적,99,부여 쌍북리 요지,扶餘 雙北里 窯址,34,충남,부여군,부여군,00990000,126.919677173436,36.2808677260949,12,백제
1333501500000,13,사적,150,익산 미륵사지,益山 彌勒寺址,35,전북,익산시,익산시,01500000,127.030616,36.012339,12,백제
1331102430000,13,사적,243,서울 석촌동 고분군,서울 石村洞 古墳群,11,서울,송파구,서울 송파구,02430000,127.102248970131,37.5025339436621,12,백제
1333102510000,13,사적,251,여주 파사성,驪州 婆娑城,31,경기,여주시,여주시,02510000,127.548939384506,37.4104385434735,12,백제
1333502940000,13,사적,294,전주 남고산성,全州 南固山城,35,전북,전주시,전주시,02940000,127.159809883089,35.7963974767339,12,백제
1331102970000,13,사적,297,서울 몽촌토성,서울 夢村土城,11,서울,송파구,송파구,02970000,127.121697275537,37.5211970910049,12,백제
1333403010000,13,사적,301,부여 정림사지,扶餘 定林寺址,34,충남,부여군,부여군,03010000,126.915039,36.27895149,12,백제
